 154 [ 209]: (116) * Orchestral Manoeuvres In The Dark - Orchestral Manoeuvres in the Dark (100)
 167 [ 191]: (112) - Nation Shall Speak Unto Nation - Edwyn Collins (104)
 236 [ 250]: ( 93) - La Variete - Weekend (90)
 256 [ 259]: ( 88) - Heaven, Or Someplace As Nice - Josh Ritter (86)
 333 [ 435]: ( 72) - Western Pleasure - Chaparelle (61)
 608 [ 821]: ( 50) - Fables Of The Reconstruction - R.E.M. (11)
 617 [ 685]: ( 50) - Phonetics On And On - Horsegirl (45)
 684 [ 728]: ( 46) - Home Again - Edwyn Collins (29)
 703 [ 714]: ( 39) - Patina - Tallies (34)
 721 [   -]: ( 32) - Strawberries - Robert Forster (0)
 749 [   -]: ( 24) - Pet Sounds - The Beach Boys (0)
 787 [   -]: ( 15) - More - Pulp (0)
1288 [   -]: (  2) - Bob Hund (Vinylljud 2019) - Bob Hund (0)
1324 [   -]: (  2) - Folkmusik FöR Folk Som Inte Kan Bete Sig Som Folk - Bob Hund (0)
1386 [   -]: (  2) - No Happy Endings - Emma Swift (0)
1497 [   -]: (  1) - 0-100 - Bob Hund (0)
1618 [   -]: (  1) - Det öVerexponerade GöMstäLlet - Bob Hund (0)
1644 [   -]: (  1) - Ett Fall Och En LöSning - Bob Hund (0)
1755 [   -]: (  1) - More - Pulp, Chilly Gonzales (0)
1766 [   -]: (  1) - Never Enough - Turnstile (0)
1788 [   -]: (  1) - Omslag: Martin Kann (Vinylljud 2019) - Bob Hund (0)
1826 [   -]: (  1) - Scared To Get Happy - Blue Orchids (0)
1827 [   -]: (  1) - Scared To Get Happy - Everything But the Girl (0)
1828 [   -]: (  1) - Scared To Get Happy - Girls At Our Best! (0)
1829 [   -]: (  1) - Scared To Get Happy - Hurrah! (0)
1830 [   -]: (  1) - Scared To Get Happy - Jane (0)
1831 [   -]: (  1) - Scared To Get Happy - Marine Girls (0)
1832 [   -]: (  1) - Scared To Get Happy - The Monochrome Set (0)
1833 [   -]: (  1) - Scared To Get Happy - The Nightingales (0)
1834 [   -]: (  1) - Scared To Get Happy - Tv21 (0)
1835 [   -]: (  1) - Scared To Get Happy - Weekend (0)
1841 [   -]: (  1) - Silence - Vild I Skogen - Bob Hund (0)
1872 [   -]: (  1) - StenåLdern Kan BöRja (Vinylljud 2019) - Bob Hund (0)
1878 [   -]: (  1) - Stumfilm - Bob Hund (0)
