2024-02-01 14:44:36	Orchestral Manoeuvres In The Dark (OMD)	Bauhaus Staircase	Bauhaus Staircase
2024-02-01 14:57:35	Orchestral Manoeuvres In The Dark (OMD)	Bauhaus Staircase	Bauhaus Staircase
2024-02-01 15:01:32	Orchestral Manoeuvres In The Dark (OMD)	Bauhaus Staircase	Anthropocene
2024-02-01 15:07:25	Orchestral Manoeuvres In The Dark (OMD)	Bauhaus Staircase	Look At You Now
2024-02-01 15:10:46	Orchestral Manoeuvres In The Dark (OMD)	Bauhaus Staircase	G.E.M.
2024-02-01 15:13:47	Orchestral Manoeuvres In The Dark (OMD)	Bauhaus Staircase	Where We Started
2024-02-01 15:16:14	Orchestral Manoeuvres In The Dark (OMD)	Bauhaus Staircase	Veruschka
2024-02-01 15:19:49	Orchestral Manoeuvres In The Dark (OMD)	Bauhaus Staircase	Slow Train
2024-02-01 15:23:47	Orchestral Manoeuvres In The Dark (OMD)	Bauhaus Staircase	Don't Go
2024-02-01 15:30:20	Orchestral Manoeuvres In The Dark (OMD)	Bauhaus Staircase	Aphrodite's Favourite Child
2024-02-01 15:33:50	Orchestral Manoeuvres In The Dark (OMD)	Bauhaus Staircase	Evolution Of Species
2024-02-01 19:25:53	Echo & the Bunnymen	Live at The Royal Albert Hall	Heaven up Here (Live at Royal Albert Hall, 1984)
2024-02-01 19:29:50	Echo & the Bunnymen	Live at The Royal Albert Hall	Rescue (Live at Royal Albert Hall, 1984)
2024-02-01 22:58:02	my bloody valentine	Isn’t Anything	Soft as Snow (But Warm Inside)
2024-02-01 23:00:25	my bloody valentine	Isn’t Anything	Lose My Breath
2024-02-01 23:03:44	my bloody valentine	Isn’t Anything	Several Girls Galore
2024-02-01 23:07:03	NewDad	Waves	Drown
2024-02-01 23:10:26	NewDad	Waves	I Don't Recognise You
2024-02-01 23:15:02	NewDad	Waves	Slowly
2024-02-01 23:18:10	NewDad	Waves	Blue
2024-02-01 23:21:29	NewDad	Waves	Hide
2024-02-01 23:25:57	NewDad	Waves	Waves
2024-02-02 22:06:50	Body Type	Expired Candy	Miss The World
2024-02-02 22:09:47	Body Type	Expired Candy	Anti-Romancer
2024-02-02 22:12:48	Body Type	Expired Candy	Beat You Up
2024-02-02 22:17:52	Body Type	Expired Candy	Albion Park
2024-02-02 22:20:11	Body Type	Expired Candy	Expired Candy
2024-02-03 12:08:05	Shack	...Here's Tom With the Weather	As Long as I've Got You
2024-02-03 12:10:18	Shack	...Here's Tom With the Weather	Soldier Man
2024-02-03 12:13:52	Shack	...Here's Tom With the Weather	Byrds Turn to Stone
2024-02-03 12:17:46	Shack	...Here's Tom With the Weather	The Girl with the Long Brown Hair
2024-02-03 12:21:52	Shack	...Here's Tom With the Weather	On the Terrace
2024-02-03 12:25:42	Shack	...Here's Tom With the Weather	Miles Apart
2024-02-03 12:30:55	The Bluebells	In The 21st Century	The Boy Who Slipped Away
2024-02-03 16:21:54	The Bluebells	In The 21st Century	Living Out Loud
2024-02-03 16:25:38	The Bluebells	In The 21st Century	The Ballad of the Bells
2024-02-03 16:30:00	The Bluebells	In The 21st Century	Anyone Could Be A Buzzcock
2024-02-04 11:37:28	Slowdive	Just for a Day	Spanish Air
2024-02-04 11:43:32	Slowdive	Just for a Day	Celia's Dream
2024-02-04 11:47:42	Slowdive	Just for a Day	Catch the Breeze
2024-02-04 16:31:44	Slowdive	Just for a Day	Ballad of Sister Sue
2024-02-04 16:36:17	Slowdive	Just for a Day	Erik's Song
2024-02-04 16:40:44	Slowdive	Just for a Day	Waves
2024-02-04 16:46:52	Slowdive	Just for a Day	Brighter
