2026-04-01 21:11:51	Dr Feelgood	Private Practice	Milk And Alcohol (2002 Remaster)
2026-04-01 21:15:34	Elvis Costello	Punch the Clock	Pills & Soap
2026-04-01 21:20:15	The Carpenters	Gold - Greatest Hits	Top Of The World
2026-04-01 21:23:14	The Carpenters	Gold - Greatest Hits	Calling Occupants Of Interplanetary Craft (The Recognized Anthem Of World Contact Day)
2026-04-01 22:15:49	Brigitte Calls Me Baby	The Future Is Our Way Out	The Future is Our Way Out
2026-04-01 22:20:46	Brigitte Calls Me Baby	The Future Is Our Way Out	Pink Palace
2026-04-01 22:23:37	Brigitte Calls Me Baby	The Future Is Our Way Out	Eddie My Love
2026-04-01 22:26:59	Brigitte Calls Me Baby	The Future Is Our Way Out	Fine Dining
2026-04-01 22:29:52	Brigitte Calls Me Baby	The Future Is Our Way Out	I Wanna Die In The Suburbs
2026-04-01 22:32:56	Brigitte Calls Me Baby	The Future Is Our Way Out	Too Easy
2026-04-01 22:36:43	Simple Minds	Empires And Dance	I Travel (Remastered 2002)
2026-04-01 22:40:49	Simple Minds	Empires And Dance	Today I Died Again (Remastered 2002)
2026-04-01 22:45:29	Simple Minds	Empires And Dance	Celebrate (Remastered 2002)
2026-04-01 22:50:57	Simple Minds	Empires And Dance	This Fear Of Gods (Remastered 2002)
2026-04-01 22:57:57	Simple Minds	Empires And Dance	This Fear Of Gods (Remastered 2002)
2026-04-02 22:09:20	Anne McCue	Roll	Stupid
2026-04-02 23:36:05	Emma Swift	You Got Here First	You Got Here First
2026-04-02 23:39:37	Emma Swift	Down And Out In Party City	Down And Out In Party City
2026-04-03 13:42:09	Emma Swift	You Got Here First	You Got Here First
2026-04-03 13:45:40	Emma Swift	Down And Out In Party City	Down And Out In Party City
2026-04-03 13:49:43	Emma Swift	I Didn't Mean To Get Weird On You, Baby	I Didn't Mean To Get Weird On You, Baby
2026-04-03 13:54:04	Simple Minds	Empires And Dance	Celebrate (Remastered 2002)
2026-04-03 13:59:24	Simple Minds	Empires And Dance	This Fear Of Gods (Remastered 2002)
2026-04-03 14:06:26	Simple Minds	Empires And Dance	Capital City (Remastered 2002)
2026-04-03 14:25:18	U2	Days Of Ash EP	American Obituary
2026-04-03 14:30:44	U2	Days Of Ash EP	The Tears Of Things
2026-04-03 14:34:40	U2	Days Of Ash EP	Song Of The Future
2026-04-03 14:35:58	U2, Adeola, Jacknife Lee	Days Of Ash EP	Wildpeace
2026-04-03 14:40:02	U2	Days Of Ash EP	One Life At A Time
2026-04-03 14:44:29	U2, Ed Sheeran, Taras Topolia	Days Of Ash EP	Yours Eternally
