2026-04-01 21:11:51	Dr Feelgood	Private Practice	Milk And Alcohol (2002 Remaster)
2026-04-01 21:15:34	Elvis Costello	Punch the Clock	Pills & Soap
2026-04-01 21:20:15	The Carpenters	Gold - Greatest Hits	Top Of The World
2026-04-01 21:23:14	The Carpenters	Gold - Greatest Hits	Calling Occupants Of Interplanetary Craft (The Recognized Anthem Of World Contact Day)
2026-04-01 22:15:49	Brigitte Calls Me Baby	The Future Is Our Way Out	The Future is Our Way Out
2026-04-01 22:20:46	Brigitte Calls Me Baby	The Future Is Our Way Out	Pink Palace
2026-04-01 22:23:37	Brigitte Calls Me Baby	The Future Is Our Way Out	Eddie My Love
2026-04-01 22:26:59	Brigitte Calls Me Baby	The Future Is Our Way Out	Fine Dining
2026-04-01 22:29:52	Brigitte Calls Me Baby	The Future Is Our Way Out	I Wanna Die In The Suburbs
2026-04-01 22:32:56	Brigitte Calls Me Baby	The Future Is Our Way Out	Too Easy
2026-04-01 22:36:43	Simple Minds	Empires And Dance	I Travel (Remastered 2002)
2026-04-01 22:40:49	Simple Minds	Empires And Dance	Today I Died Again (Remastered 2002)
2026-04-01 22:45:29	Simple Minds	Empires And Dance	Celebrate (Remastered 2002)
2026-04-01 22:50:57	Simple Minds	Empires And Dance	This Fear Of Gods (Remastered 2002)
2026-04-01 22:57:57	Simple Minds	Empires And Dance	This Fear Of Gods (Remastered 2002)
