2025-08-02 18:47:29	ABC	The Lexicon of Love	The Look Of Love, Pt.1
2025-08-02 19:24:27	Emma Swift	Blonde on the Tracks (Deluxe Edition)	queen jane approximately
2025-08-02 19:29:11	Emma Swift	Blonde on the Tracks (Deluxe Edition)	I Contain Multitudes
2025-08-02 19:34:21	Emma Swift	Blonde on the Tracks (Deluxe Edition)	one of us must know (sooner or later)
2025-08-02 22:33:11	The Weather Station	Humanhood	Descent
2025-08-02 22:35:05	The Weather Station	Humanhood	Neon Signs
2025-08-02 22:40:13	The Weather Station	Humanhood	Mirror
2025-08-02 22:45:10	The Weather Station	Humanhood	Window
2025-08-02 22:47:52	The Weather Station	Humanhood	Passage
2025-08-03 19:16:06	Robert Forster	Strawberries	Strawberries
2025-08-03 19:19:35	Robert Forster	Strawberries	Tell It Back To Me
2025-08-03 19:23:11	Robert Forster	Strawberries	Such A Shame
2025-08-04 11:44:29	The Burning Hell	Ghost Palace	Celebrities In Cemeteries
2025-08-04 11:48:47	The Burning Hell	Ghost Palace	My Home Planet
2025-08-04 11:50:57	The Burning Hell	Ghost Palace	Brazil Nuts and Blue Curacao
2025-08-04 11:55:21	The Burning Hell	Ghost Palace	Luna FM
2025-08-04 12:00:29	The Burning Hell	Ghost Palace	What Does It Do And How Does It Work
2025-08-04 12:04:27	The Burning Hell	Ghost Palace	Bottle Of Chianti, Cheese And Charcuterie Board
2025-08-04 12:07:10	The Burning Hell	Ghost Palace	Summer Olympics
2025-08-04 12:10:36	The Burning Hell	Ghost Palace	Duck vs. Decorated Shed
2025-08-04 12:14:28	The Burning Hell	Ghost Palace	Birds Of Australia
2025-08-04 12:19:24	The Burning Hell	Ghost Palace	Strange Paradise
2025-08-04 12:22:48	The Burning Hell	Ghost Palace	Ghost Palace
2025-08-04 15:28:27	The Weather Station	Humanhood	Descent
2025-08-04 15:29:31	The Weather Station	Humanhood	Neon Signs
2025-08-04 15:34:39	The Weather Station	Humanhood	Mirror
2025-08-04 15:39:36	The Weather Station	Humanhood	Window
2025-08-04 15:42:18	The Weather Station	Humanhood	Passage
2025-08-04 15:50:24	The Weather Station	Humanhood	Body Moves
2025-08-04 15:53:52	The Weather Station	Humanhood	Ribbon
2025-08-04 15:57:11	The Weather Station	Humanhood	Fleuve
2025-08-04 15:58:22	The Weather Station	Humanhood	Humanhood
2025-08-04 16:02:34	The Weather Station	Humanhood	Irreversible Damage
2025-08-05 14:17:45	The Burning Hell	Ghost Palace	Celebrities In Cemeteries
2025-08-05 14:22:05	The Burning Hell	Ghost Palace	My Home Planet
2025-08-05 14:24:14	The Burning Hell	Ghost Palace	Brazil Nuts and Blue Curacao
2025-08-05 15:15:42	The Burning Hell	Ghost Palace	Luna FM
2025-08-05 15:21:59	The Burning Hell	Ghost Palace	What Does It Do And How Does It Work
2025-08-05 15:25:57	The Burning Hell	Ghost Palace	Bottle Of Chianti, Cheese And Charcuterie Board
2025-08-06 09:56:39	Pulp	More	Spike Island
2025-08-06 10:01:23	Pulp	More	Tina
